invoice_item_id,invoice_id,customer_id,subscription_id,plan_id,description,item_type,quantity,unit_price,amount
1,1,1,1,1,Starter plan · 4 seats,subscription,4,29.00,116.00
2,2,1,1,1,Starter plan · 4 seats,subscription,4,29.00,116.00
3,3,1,1,1,Starter plan · 4 seats,subscription,4,29.00,116.00
4,4,1,2,1,Starter plan · 3 seats,subscription,3,29.00,87.00
5,5,1,2,1,Starter plan · 3 seats,subscription,3,29.00,87.00
6,6,1,2,1,Starter plan · 3 seats,subscription,3,29.00,87.00
7,7,1,2,1,Starter plan · 3 seats,subscription,3,29.00,87.00
8,8,1,2,1,Starter plan · 3 seats,subscription,3,29.00,87.00
9,9,1,2,1,Starter plan · 3 seats,subscription,3,29.00,87.00
10,10,1,2,1,Starter plan · 3 seats,subscription,3,29.00,87.00
11,11,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
12,12,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
13,13,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
14,14,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
15,15,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
16,16,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
17,17,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
18,18,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
19,19,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
20,20,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
21,21,2,3,1,Starter plan · 6 seats,subscription,6,29.00,174.00
22,22,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
23,23,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
24,24,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
25,25,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
26,26,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
27,27,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
28,28,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
29,29,2,3,1,Starter plan · 5 seats,subscription,5,29.00,145.00
30,30,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
31,31,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
32,32,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
33,33,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
34,34,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
35,35,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
36,36,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
37,37,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
38,38,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
39,39,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
40,40,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
41,41,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
42,42,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
43,43,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
44,44,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
45,45,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
46,46,3,4,1,Starter plan · 4 seats,subscription,4,29.00,116.00
47,47,3,4,2,Team plan · 4 seats,subscription,4,59.00,236.00
48,48,3,4,2,Team plan · 4 seats,subscription,4,59.00,236.00
49,49,3,4,2,Team plan · 4 seats,subscription,4,59.00,236.00
50,50,3,4,2,Team plan · 4 seats,subscription,4,59.00,236.00
51,51,4,5,4,Enterprise annual · 46 seats,subscription,46,1490.00,68540.04
52,51,4,5,4,Implementation and onboarding,one_time,1,1500.00,1500.00
53,52,4,5,3,Business annual · 46 seats,subscription,46,990.00,45540.00
54,53,4,5,3,Business annual · 46 seats,subscription,46,990.00,45540.00
55,54,5,6,2,Team annual · 5 seats,subscription,5,589.99,2949.96
56,55,6,7,2,Team annual · 13 seats,subscription,13,590.00,7670.04
57,56,6,7,3,Business annual · 13 seats,subscription,13,990.00,12870.00
58,57,6,8,3,Business plan · 10 seats,subscription,10,99.00,990.00
59,58,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
60,58,6,8,3,Additional storage,addon,1,49.00,49.00
61,59,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
62,59,6,8,3,Additional storage,addon,1,79.00,79.00
63,60,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
64,61,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
65,62,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
66,63,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
67,64,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
68,65,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
69,65,6,8,3,Additional storage,addon,1,129.00,129.00
70,66,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
71,67,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
72,68,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
73,69,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
74,70,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
75,71,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
76,72,6,8,3,Business plan · 11 seats,subscription,11,99.00,1089.00
77,73,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
78,74,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
79,75,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
80,76,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
81,77,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
82,78,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
83,79,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
84,80,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
85,81,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
86,82,7,9,1,Starter plan · 3 seats,subscription,3,29.00,87.00
87,83,8,10,2,Team plan · 3 seats,subscription,3,59.00,177.00
88,84,8,10,2,Team plan · 2 seats,subscription,2,59.00,118.00
89,85,8,10,2,Team plan · 2 seats,subscription,2,59.00,118.00
