usage_id,customer_id,subscription_id,usage_date,active_seats,licensed_seats,work_items_completed,api_calls,session_minutes
1,1,1,2025-07-07,1,4,2,0,35
2,1,1,2025-07-13,1,4,2,0,5
3,1,1,2025-07-25,1,4,2,0,9
4,1,1,2025-07-30,2,4,3,0,45
5,1,1,2025-08-04,1,4,2,0,17
6,1,1,2025-08-05,1,4,1,0,21
7,1,1,2025-08-20,2,4,4,0,38
8,1,1,2025-09-03,1,4,2,0,39
9,1,1,2025-09-10,2,4,5,0,26
10,1,2,2026-02-18,1,3,2,0,21
11,1,2,2026-02-19,1,3,3,0,41
12,1,2,2026-02-24,1,3,2,0,54
13,1,2,2026-03-05,1,3,1,0,21
14,1,2,2026-03-09,1,3,2,0,39
15,1,2,2026-03-10,2,3,5,0,9
16,1,2,2026-03-12,2,3,5,0,66
17,1,2,2026-03-16,2,3,3,0,55
18,1,2,2026-03-25,1,3,2,0,31
19,1,2,2026-03-26,2,3,4,0,71
20,1,2,2026-03-27,2,3,6,0,33
21,1,2,2026-04-06,2,3,7,0,24
22,1,2,2026-04-07,2,3,6,0,40
23,1,2,2026-04-08,1,3,2,0,21
24,1,2,2026-04-09,2,3,4,0,5
25,1,2,2026-04-14,1,3,3,0,55
26,1,2,2026-04-17,2,3,4,0,11
27,1,2,2026-04-22,1,3,2,0,19
28,1,2,2026-04-26,1,3,3,0,7
29,1,2,2026-04-28,2,3,5,0,31
30,1,2,2026-05-07,2,3,6,0,61
31,1,2,2026-05-14,1,3,2,0,7
32,1,2,2026-05-17,1,3,2,0,22
33,1,2,2026-05-21,1,3,2,0,33
34,1,2,2026-06-04,2,3,5,0,65
35,1,2,2026-06-15,1,3,2,0,40
36,1,2,2026-06-29,1,3,4,0,5
37,1,2,2026-06-30,2,3,4,0,66
38,1,2,2026-07-07,1,3,2,0,5
39,1,2,2026-07-10,1,3,1,0,6
40,1,2,2026-07-14,1,3,2,0,26
41,1,2,2026-07-23,1,3,3,0,5
42,1,2,2026-08-10,1,3,1,0,35
43,1,2,2026-08-19,1,3,2,0,28
44,1,2,2026-08-22,2,3,6,0,44
45,1,2,2026-08-25,1,3,2,0,24
46,1,2,2026-08-26,1,3,1,0,52
47,1,2,2026-08-28,2,3,8,0,38
48,1,2,2026-08-29,2,3,3,0,42
49,2,3,2024-08-15,4,6,15,0,68
50,2,3,2024-08-20,4,6,19,0,105
51,2,3,2024-08-21,5,6,21,0,104
52,2,3,2024-08-23,3,6,14,0,76
53,2,3,2024-08-27,4,6,22,0,88
54,2,3,2024-09-03,6,6,30,0,132
55,2,3,2024-09-04,6,6,34,0,144
56,2,3,2024-09-05,5,6,30,0,96
57,2,3,2024-09-06,5,6,17,0,122
58,2,3,2024-09-09,6,6,34,0,86
59,2,3,2024-09-10,5,6,29,0,105
60,2,3,2024-09-11,6,6,37,0,161
61,2,3,2024-09-12,6,6,21,0,108
62,2,3,2024-09-13,5,6,21,0,137
63,2,3,2024-09-14,6,6,23,0,112
64,2,3,2024-09-16,5,6,29,0,124
65,2,3,2024-09-17,6,6,32,0,126
66,2,3,2024-09-18,6,6,27,0,140
67,2,3,2024-09-19,6,6,28,0,133
68,2,3,2024-09-20,3,6,19,0,61
69,2,3,2024-09-23,5,6,32,0,90
70,2,3,2024-09-24,6,6,31,0,130
71,2,3,2024-09-25,5,6,22,0,92
72,2,3,2024-09-26,6,6,27,0,120
73,2,3,2024-09-30,4,6,12,0,56
74,2,3,2024-10-02,5,6,22,0,133
75,2,3,2024-10-03,4,6,25,0,91
76,2,3,2024-10-04,4,6,22,0,108
77,2,3,2024-10-07,4,6,20,0,98
78,2,3,2024-10-08,6,6,27,0,152
79,2,3,2024-10-09,6,6,28,0,146
80,2,3,2024-10-10,4,6,18,0,89
81,2,3,2024-10-12,4,6,16,0,86
82,2,3,2024-10-14,4,6,17,0,85
83,2,3,2024-10-15,6,6,30,0,129
84,2,3,2024-10-16,6,6,35,0,109
85,2,3,2024-10-21,4,6,22,0,65
86,2,3,2024-10-22,6,6,31,0,143
87,2,3,2024-10-23,4,6,25,0,66
88,2,3,2024-10-25,6,6,29,0,114
89,2,3,2024-10-27,4,6,14,0,90
90,2,3,2024-10-29,4,6,22,0,102
91,2,3,2024-10-30,5,6,21,0,95
92,2,3,2024-10-31,6,6,30,0,140
93,2,3,2024-11-05,4,6,16,0,74
94,2,3,2024-11-07,3,6,14,0,73
95,2,3,2024-11-08,6,6,37,0,133
96,2,3,2024-11-09,5,6,24,0,116
97,2,3,2024-11-11,6,6,26,0,99
98,2,3,2024-11-12,6,6,26,0,127
99,2,3,2024-11-13,6,6,36,0,118
100,2,3,2024-11-15,6,6,32,0,120
101,2,3,2024-11-18,6,6,27,0,150
102,2,3,2024-11-22,6,6,27,0,93
103,2,3,2024-11-25,6,6,25,0,121
104,2,3,2024-11-29,6,6,34,0,137
105,2,3,2024-12-02,4,6,24,0,86
106,2,3,2024-12-03,6,6,24,0,155
107,2,3,2024-12-04,5,6,25,0,85
108,2,3,2024-12-06,6,6,26,0,153
109,2,3,2024-12-09,6,6,16,0,166
110,2,3,2024-12-10,3,6,16,0,90
111,2,3,2024-12-11,6,6,32,0,160
112,2,3,2024-12-16,3,6,13,0,69
113,2,3,2024-12-18,4,6,16,0,73
114,2,3,2024-12-19,5,6,26,0,90
115,2,3,2024-12-23,6,6,38,0,133
116,2,3,2024-12-24,6,6,30,0,128
117,2,3,2024-12-25,4,6,17,0,57
118,2,3,2024-12-26,6,6,26,0,129
119,2,3,2024-12-30,5,6,28,0,126
120,2,3,2025-01-01,6,6,34,0,133
121,2,3,2025-01-02,6,6,30,0,122
122,2,3,2025-01-03,6,6,36,0,139
123,2,3,2025-01-06,6,6,23,0,162
124,2,3,2025-01-07,4,6,14,0,80
125,2,3,2025-01-08,4,6,23,0,90
126,2,3,2025-01-10,5,6,24,0,134
127,2,3,2025-01-12,5,6,25,0,133
128,2,3,2025-01-14,6,6,39,0,116
129,2,3,2025-01-16,3,6,19,0,64
130,2,3,2025-01-17,6,6,26,0,147
131,2,3,2025-01-21,6,6,32,0,158
132,2,3,2025-01-22,5,6,20,0,118
133,2,3,2025-01-24,5,6,22,0,132
134,2,3,2025-01-27,6,6,27,0,105
135,2,3,2025-01-29,4,6,21,0,70
136,2,3,2025-01-30,6,6,31,0,133
137,2,3,2025-02-03,6,6,31,0,120
138,2,3,2025-02-05,6,6,38,0,109
139,2,3,2025-02-06,6,6,19,0,107
140,2,3,2025-02-07,6,6,25,0,111
141,2,3,2025-02-11,4,6,17,0,77
142,2,3,2025-02-12,5,6,29,0,109
143,2,3,2025-02-13,6,6,21,0,143
144,2,3,2025-02-16,4,6,16,0,87
145,2,3,2025-02-17,3,6,16,0,64
146,2,3,2025-02-18,6,6,26,0,141
147,2,3,2025-02-19,6,6,32,0,156
148,2,3,2025-02-20,6,6,27,0,149
149,2,3,2025-02-21,4,6,26,0,82
150,2,3,2025-02-22,6,6,24,0,102
151,2,3,2025-02-24,5,6,24,0,103
152,2,3,2025-02-25,6,6,33,0,164
153,2,3,2025-02-27,5,6,32,0,104
154,2,3,2025-03-01,6,6,20,0,153
155,2,3,2025-03-03,5,6,28,0,108
156,2,3,2025-03-07,6,6,25,0,88
157,2,3,2025-03-08,4,6,23,0,101
158,2,3,2025-03-10,6,6,28,0,138
159,2,3,2025-03-11,4,6,20,0,94
160,2,3,2025-03-16,4,6,22,0,101
161,2,3,2025-03-17,6,6,37,0,163
162,2,3,2025-03-19,4,6,27,0,88
163,2,3,2025-03-24,4,6,23,0,133
164,2,3,2025-03-25,3,6,15,0,57
165,2,3,2025-03-26,6,6,29,0,140
166,2,3,2025-03-27,3,6,15,0,57
167,2,3,2025-03-28,6,6,30,0,113
168,2,3,2025-03-29,4,6,23,0,66
169,2,3,2025-03-31,5,6,24,0,111
170,2,3,2025-04-02,3,6,14,0,45
171,2,3,2025-04-03,6,6,38,0,136
172,2,3,2025-04-04,5,6,22,0,89
173,2,3,2025-04-05,6,6,36,0,172
174,2,3,2025-04-08,5,6,28,0,133
175,2,3,2025-04-09,6,6,33,0,124
176,2,3,2025-04-10,6,6,26,0,133
177,2,3,2025-04-11,3,6,15,0,48
178,2,3,2025-04-16,5,6,27,0,134
179,2,3,2025-04-17,6,6,42,0,119
180,2,3,2025-04-18,4,6,20,0,101
181,2,3,2025-04-21,5,6,30,0,117
182,2,3,2025-04-22,6,6,31,0,115
183,2,3,2025-04-23,6,6,30,0,117
184,2,3,2025-04-24,6,6,30,0,149
185,2,3,2025-04-28,3,6,12,0,36
186,2,3,2025-04-29,6,6,23,0,138
187,2,3,2025-04-30,6,6,30,0,147
188,2,3,2025-05-01,3,6,14,0,74
189,2,3,2025-05-02,6,6,27,0,146
190,2,3,2025-05-06,3,6,12,0,71
191,2,3,2025-05-07,4,6,18,0,59
192,2,3,2025-05-09,6,6,32,0,116
193,2,3,2025-05-11,6,6,31,0,140
194,2,3,2025-05-16,6,6,26,0,140
195,2,3,2025-05-17,6,6,36,0,106
196,2,3,2025-05-20,6,6,32,0,78
197,2,3,2025-05-21,4,6,21,0,84
198,2,3,2025-05-22,4,6,21,0,88
199,2,3,2025-05-23,3,6,13,0,61
