event_id,subscription_id,customer_id,event_at,event_type,plan_id,seats,mrr,billing_interval,notes
1,1,1,2025-07-01,created,1,4,116.00,monthly,
2,1,1,2025-09-28,cancelled,1,4,0.00,monthly,low_adoption
3,2,1,2026-02-18,reactivated,1,3,87.00,monthly,
4,3,2,2024-08-15,created,1,6,174.00,monthly,
5,3,2,2025-07-01,seats_contracted,1,5,145.00,monthly,
6,3,2,2026-02-18,cancelled,1,5,0.00,monthly,missing_features
7,4,3,2023-01-03,created,1,4,116.00,monthly,
8,4,3,2024-05-27,plan_upgraded,2,4,236.00,monthly,
9,4,3,2024-09-11,cancelled,2,4,0.00,monthly,competitor
10,5,4,2024-03-24,created,4,46,5711.67,annual,
11,5,4,2025-01-30,plan_downgraded,3,46,3795.00,annual,
12,6,5,2026-05-27,created,2,5,245.83,annual,
13,6,5,2026-07-08,seats_expanded,2,6,295.00,annual,
14,7,6,2023-11-01,created,2,13,639.17,annual,
15,7,6,2023-12-14,plan_upgraded,3,13,1072.50,annual,
16,7,6,2025-01-18,cancelled,3,13,0.00,annual,price
17,8,6,2025-05-23,reactivated,3,10,990.00,monthly,
18,8,6,2025-06-10,seats_expanded,3,11,1089.00,monthly,
19,9,7,2025-11-25,created,1,3,87.00,monthly,
20,10,8,2024-09-25,created,2,3,177.00,monthly,
21,10,8,2024-10-08,seats_contracted,2,2,118.00,monthly,
22,10,8,2026-04-29,seats_expanded,2,3,177.00,monthly,
23,10,8,2026-07-13,seats_expanded,2,4,236.00,monthly,
24,11,9,2025-06-16,created,2,19,1121.00,monthly,
25,11,9,2026-01-16,seats_expanded,2,20,1180.00,monthly,
26,11,9,2026-07-05,seats_expanded,2,22,1298.00,monthly,
27,12,10,2026-02-08,created,1,3,87.00,monthly,
28,12,10,2026-04-16,cancelled,1,3,0.00,monthly,company_closed
29,13,11,2026-05-03,created,2,12,708.00,monthly,
30,14,12,2026-06-02,created,4,223,27689.17,annual,
31,15,13,2023-08-10,created,3,83,6847.50,annual,
32,15,13,2023-10-28,seats_expanded,3,100,8250.00,annual,
33,16,14,2026-05-01,created,2,50,2458.33,annual,
34,16,14,2026-07-28,plan_upgraded,3,50,4125.00,annual,
35,17,15,2026-01-12,created,3,39,3861.00,monthly,
36,18,16,2025-08-31,created,2,30,1770.00,monthly,
37,19,17,2023-09-19,created,3,381,31432.50,annual,
38,19,17,2024-04-04,plan_upgraded,4,381,47307.50,annual,
39,19,17,2025-06-05,seats_expanded,4,423,52522.50,annual,
40,19,17,2026-03-03,seats_expanded,4,513,63697.50,annual,
41,20,18,2026-06-29,created,4,17,2110.83,annual,
42,21,19,2025-07-23,created,2,35,2065.00,monthly,
43,21,19,2026-04-07,cancelled,2,35,0.00,monthly,low_adoption
44,22,19,2026-08-23,reactivated,1,10,290.00,monthly,
45,23,20,2026-06-03,created,2,4,196.67,annual,
46,24,21,2026-02-14,created,2,2,118.00,monthly,
47,25,22,2023-04-24,created,2,12,708.00,monthly,
48,25,22,2023-07-24,seats_expanded,2,14,826.00,monthly,
49,25,22,2023-12-28,cancelled,2,14,0.00,monthly,price
50,26,23,2022-12-01,created,1,6,174.00,monthly,
51,26,23,2023-04-13,cancelled,1,6,0.00,monthly,missing_features
52,27,24,2023-01-01,created,2,13,767.00,monthly,
53,27,24,2023-03-12,seats_expanded,2,15,885.00,monthly,
54,27,24,2023-05-09,plan_upgraded,3,15,1485.00,monthly,
55,27,24,2024-08-31,seats_expanded,3,18,1782.00,monthly,
56,27,24,2025-03-09,cancelled,3,18,0.00,monthly,missing_features
57,28,25,2025-04-23,created,2,5,295.00,monthly,
58,28,25,2025-08-09,seats_expanded,2,6,354.00,monthly,
59,28,25,2026-04-05,plan_upgraded,3,6,594.00,monthly,
60,28,25,2026-07-08,cancelled,3,6,0.00,monthly,low_adoption
61,29,26,2025-11-25,created,3,15,1485.00,monthly,
62,30,27,2024-04-18,created,1,10,290.00,monthly,
63,30,27,2025-05-12,cancelled,1,10,0.00,monthly,internal_tool
64,31,27,2026-01-27,reactivated,1,6,174.00,monthly,
65,32,28,2025-09-03,created,2,8,393.33,annual,
66,33,29,2025-01-25,created,1,10,290.00,monthly,
67,33,29,2025-11-13,cancelled,1,10,0.00,monthly,company_closed
68,34,30,2025-03-04,created,1,2,58.00,monthly,
69,34,30,2025-09-01,seats_expanded,1,3,87.00,monthly,
70,34,30,2026-03-23,cancelled,1,3,0.00,monthly,missing_features
71,35,31,2023-07-31,created,2,11,540.83,annual,
72,35,31,2024-03-24,seats_expanded,2,12,590.00,annual,
73,35,31,2024-11-03,plan_downgraded,1,10,290.00,monthly,
74,36,32,2024-05-09,created,3,85,7012.50,annual,
75,36,32,2024-08-12,plan_upgraded,4,85,10554.17,annual,
76,37,33,2026-08-05,created,1,6,174.00,monthly,
77,38,34,2025-03-24,created,2,37,2183.00,monthly,
78,38,34,2025-08-14,plan_upgraded,3,37,3663.00,monthly,
79,38,34,2025-12-30,seats_contracted,3,30,2970.00,monthly,
80,38,34,2026-04-21,seats_expanded,3,32,3168.00,monthly,
81,39,35,2025-08-06,created,2,19,1121.00,monthly,
82,39,35,2026-02-03,plan_upgraded,3,19,1881.00,monthly,
83,39,35,2026-06-12,cancelled,3,19,0.00,monthly,competitor
84,40,36,2024-04-17,created,2,13,639.17,annual,
85,40,36,2025-01-22,seats_expanded,2,14,688.33,annual,
86,40,36,2025-05-14,seats_expanded,2,16,786.67,annual,
87,40,36,2025-06-20,seats_contracted,2,14,688.33,annual,
88,40,36,2025-10-30,seats_contracted,2,12,590.00,annual,
89,40,36,2026-03-15,seats_expanded,2,14,688.33,annual,
90,41,37,2025-08-27,created,3,356,29370.00,annual,
91,41,37,2026-01-28,plan_upgraded,4,356,44203.33,annual,
92,41,37,2026-02-18,seats_expanded,4,411,51032.50,annual,
93,42,38,2023-02-07,created,3,19,1567.50,annual,
94,42,38,2023-07-31,seats_contracted,3,17,1402.50,annual,
95,42,38,2023-11-11,seats_expanded,3,21,1732.50,annual,
96,42,38,2024-03-29,plan_upgraded,4,21,2607.50,annual,
97,42,38,2024-07-06,seats_expanded,4,24,2980.00,annual,
98,42,38,2025-02-17,seats_expanded,4,27,3352.50,annual,
99,42,38,2025-05-31,plan_downgraded,3,27,2227.50,annual,
100,42,38,2025-10-23,seats_expanded,3,31,2557.50,annual,
101,42,38,2026-07-30,seats_contracted,3,24,1980.00,annual,
102,43,39,2024-01-06,created,1,2,58.00,monthly,
103,43,39,2025-07-13,seats_expanded,1,3,87.00,monthly,
104,44,40,2025-06-05,created,3,8,792.00,monthly,
105,44,40,2026-03-28,seats_expanded,3,10,990.00,monthly,
106,45,41,2023-02-05,created,1,10,290.00,monthly,
107,45,41,2023-10-26,cancelled,1,10,0.00,monthly,low_adoption
108,46,42,2022-07-02,created,3,14,1155.00,annual,
109,46,42,2023-03-13,seats_expanded,3,16,1320.00,annual,
110,46,42,2024-04-23,seats_expanded,3,19,1567.50,annual,
111,46,42,2026-06-22,plan_upgraded,4,19,2359.17,annual,
112,47,43,2022-10-18,created,1,10,290.00,monthly,
113,47,43,2023-07-09,plan_upgraded,2,10,590.00,monthly,
114,47,43,2024-05-15,cancelled,2,10,0.00,monthly,low_adoption
115,48,44,2023-12-15,created,3,460,37950.00,annual,
116,48,44,2024-02-29,plan_downgraded,2,50,2458.33,annual,
117,49,45,2025-12-22,created,2,6,295.00,annual,
118,49,45,2026-06-12,seats_expanded,2,7,344.17,annual,
119,50,46,2024-11-19,created,3,35,3465.00,monthly,
120,50,46,2025-02-05,plan_upgraded,4,35,4345.83,annual,
121,50,46,2025-07-18,plan_downgraded,3,35,2887.50,annual,
122,50,46,2025-11-16,seats_expanded,3,41,3382.50,annual,
123,50,46,2026-02-24,seats_contracted,3,34,2805.00,annual,
124,51,47,2026-01-10,created,4,353,43830.83,annual,
125,51,47,2026-02-05,seats_expanded,4,430,53391.67,annual,
126,52,48,2025-03-31,created,3,4,396.00,monthly,
127,52,48,2026-02-16,cancelled,3,4,0.00,monthly,price
128,53,49,2026-06-22,created,3,292,24090.00,annual,
129,54,50,2023-11-02,created,2,4,236.00,monthly,
130,54,50,2025-03-06,seats_expanded,2,5,295.00,monthly,
131,54,50,2026-04-24,cancelled,2,5,0.00,monthly,low_adoption
132,55,51,2024-02-03,created,1,10,290.00,monthly,
133,56,52,2023-11-11,created,4,266,33028.33,annual,
134,56,52,2024-04-09,plan_downgraded,3,266,21945.00,annual,
135,56,52,2024-10-21,seats_expanded,3,294,24255.00,annual,
136,56,52,2026-01-07,seats_expanded,3,322,26565.00,annual,
137,56,52,2026-02-07,seats_expanded,3,379,31267.50,annual,
138,57,53,2022-08-22,created,1,10,290.00,monthly,
139,57,53,2023-10-27,seats_contracted,1,9,261.00,monthly,
140,57,53,2024-03-01,seats_expanded,1,10,290.00,monthly,
141,57,53,2024-08-19,cancelled,1,10,0.00,monthly,low_adoption
142,58,54,2023-04-28,created,2,12,708.00,monthly,
143,58,54,2023-10-26,cancelled,2,12,0.00,monthly,competitor
144,59,55,2025-04-14,created,3,4,396.00,monthly,
145,59,55,2026-07-02,cancelled,3,4,0.00,monthly,low_adoption
146,60,56,2025-07-01,created,1,4,116.00,monthly,
147,60,56,2025-08-01,plan_upgraded,2,4,236.00,monthly,
148,60,56,2026-04-05,cancelled,2,4,0.00,monthly,company_closed
149,61,57,2024-09-07,created,4,30,3725.00,annual,
150,61,57,2025-03-23,seats_expanded,4,33,4097.50,annual,
151,61,57,2025-12-15,seats_expanded,4,38,4718.33,annual,
152,62,58,2026-02-20,created,1,7,203.00,monthly,
153,62,58,2026-05-15,seats_expanded,1,8,232.00,monthly,
154,63,59,2025-06-28,created,3,17,1402.50,annual,
155,63,59,2025-08-06,plan_upgraded,4,17,2110.83,annual,
156,63,59,2026-02-18,seats_expanded,4,20,2483.33,annual,
157,63,59,2026-04-07,seats_expanded,4,22,2731.67,annual,
158,64,60,2025-09-03,created,1,5,145.00,monthly,
159,64,60,2026-05-16,seats_contracted,1,4,116.00,monthly,
160,65,61,2024-11-28,created,4,146,18128.33,annual,
161,66,62,2026-03-04,created,2,22,1081.67,annual,
162,67,63,2025-11-19,created,1,2,58.00,monthly,
163,67,63,2026-01-13,seats_expanded,1,3,87.00,monthly,
164,68,64,2026-07-31,created,2,12,708.00,monthly,
165,69,65,2026-05-31,created,1,9,261.00,monthly,
166,69,65,2026-07-25,seats_contracted,1,7,203.00,monthly,
167,70,66,2025-10-08,created,1,5,145.00,monthly,
168,70,66,2026-05-07,cancelled,1,5,0.00,monthly,missing_features
169,71,67,2026-02-24,created,4,176,21853.33,annual,
170,71,67,2026-07-26,seats_contracted,4,150,18625.00,annual,
171,72,68,2025-08-01,created,2,48,2360.00,annual,
172,72,68,2026-04-06,seats_expanded,2,50,2458.33,annual,
173,73,69,2023-06-29,created,2,11,649.00,monthly,
174,73,69,2024-07-21,cancelled,2,11,0.00,monthly,low_adoption
175,74,70,2023-08-13,created,1,10,290.00,monthly,
176,74,70,2023-11-26,cancelled,1,10,0.00,monthly,price
177,75,71,2026-08-19,created,4,70,8691.67,annual,
178,76,72,2023-01-17,created,3,5,495.00,monthly,
179,76,72,2023-09-22,seats_expanded,3,6,594.00,monthly,
180,76,72,2023-10-30,seats_expanded,3,7,693.00,monthly,
181,76,72,2024-06-27,cancelled,3,7,0.00,monthly,missing_features
182,77,73,2024-01-29,created,2,4,236.00,monthly,
