subscription_history_id,subscription_id,customer_id,plan_id,seats,billing_interval,mrr,status,valid_from,valid_to,is_current
1,1,1,1,4,monthly,116.00,active,2025-07-01,2025-09-28,false
2,2,1,1,3,monthly,87.00,active,2026-02-18,9999-12-31,true
3,3,2,1,6,monthly,174.00,active,2024-08-15,2025-07-01,false
4,3,2,1,5,monthly,145.00,active,2025-07-01,2026-02-18,false
5,4,3,1,4,monthly,116.00,active,2023-01-03,2024-05-27,false
6,4,3,2,4,monthly,236.00,active,2024-05-27,2024-09-11,false
7,5,4,4,46,annual,5711.67,active,2024-03-24,2025-01-30,false
8,5,4,3,46,annual,3795.00,active,2025-01-30,9999-12-31,true
9,6,5,2,5,annual,245.83,active,2026-05-27,2026-07-08,false
10,6,5,2,6,annual,295.00,active,2026-07-08,9999-12-31,true
11,7,6,2,13,annual,639.17,active,2023-11-01,2023-12-14,false
12,7,6,3,13,annual,1072.50,active,2023-12-14,2025-01-18,false
13,8,6,3,10,monthly,990.00,active,2025-05-23,2025-06-10,false
14,8,6,3,11,monthly,1089.00,active,2025-06-10,9999-12-31,true
15,9,7,1,3,monthly,87.00,active,2025-11-25,9999-12-31,true
16,10,8,2,3,monthly,177.00,active,2024-09-25,2024-10-08,false
17,10,8,2,2,monthly,118.00,active,2024-10-08,2026-04-29,false
18,10,8,2,3,monthly,177.00,active,2026-04-29,2026-07-13,false
19,10,8,2,4,monthly,236.00,active,2026-07-13,9999-12-31,true
20,11,9,2,19,monthly,1121.00,active,2025-06-16,2026-01-16,false
21,11,9,2,20,monthly,1180.00,active,2026-01-16,2026-07-05,false
22,11,9,2,22,monthly,1298.00,active,2026-07-05,9999-12-31,true
23,12,10,1,3,monthly,87.00,active,2026-02-08,2026-04-16,false
24,13,11,2,12,monthly,708.00,active,2026-05-03,9999-12-31,true
25,14,12,4,223,annual,27689.17,active,2026-06-02,9999-12-31,true
26,15,13,3,83,annual,6847.50,active,2023-08-10,2023-10-28,false
27,15,13,3,100,annual,8250.00,active,2023-10-28,9999-12-31,true
28,16,14,2,50,annual,2458.33,active,2026-05-01,2026-07-28,false
29,16,14,3,50,annual,4125.00,active,2026-07-28,9999-12-31,true
30,17,15,3,39,monthly,3861.00,active,2026-01-12,9999-12-31,true
31,18,16,2,30,monthly,1770.00,active,2025-08-31,9999-12-31,true
32,19,17,3,381,annual,31432.50,active,2023-09-19,2024-04-04,false
33,19,17,4,381,annual,47307.50,active,2024-04-04,2025-06-05,false
34,19,17,4,423,annual,52522.50,active,2025-06-05,2026-03-03,false
35,19,17,4,513,annual,63697.50,active,2026-03-03,9999-12-31,true
36,20,18,4,17,annual,2110.83,active,2026-06-29,9999-12-31,true
37,21,19,2,35,monthly,2065.00,active,2025-07-23,2026-04-07,false
38,22,19,1,10,monthly,290.00,active,2026-08-23,9999-12-31,true
39,23,20,2,4,annual,196.67,active,2026-06-03,9999-12-31,true
40,24,21,2,2,monthly,118.00,active,2026-02-14,9999-12-31,true
41,25,22,2,12,monthly,708.00,active,2023-04-24,2023-07-24,false
42,25,22,2,14,monthly,826.00,active,2023-07-24,2023-12-28,false
43,26,23,1,6,monthly,174.00,active,2022-12-01,2023-04-13,false
44,27,24,2,13,monthly,767.00,active,2023-01-01,2023-03-12,false
45,27,24,2,15,monthly,885.00,active,2023-03-12,2023-05-09,false
46,27,24,3,15,monthly,1485.00,active,2023-05-09,2024-08-31,false
47,27,24,3,18,monthly,1782.00,active,2024-08-31,2025-03-09,false
48,28,25,2,5,monthly,295.00,active,2025-04-23,2025-08-09,false
49,28,25,2,6,monthly,354.00,active,2025-08-09,2026-04-05,false
50,28,25,3,6,monthly,594.00,active,2026-04-05,2026-07-08,false
51,29,26,3,15,monthly,1485.00,active,2025-11-25,9999-12-31,true
52,30,27,1,10,monthly,290.00,active,2024-04-18,2025-05-12,false
53,31,27,1,6,monthly,174.00,active,2026-01-27,9999-12-31,true
54,32,28,2,8,annual,393.33,active,2025-09-03,9999-12-31,true
55,33,29,1,10,monthly,290.00,active,2025-01-25,2025-11-13,false
56,34,30,1,2,monthly,58.00,active,2025-03-04,2025-09-01,false
57,34,30,1,3,monthly,87.00,active,2025-09-01,2026-03-23,false
58,35,31,2,11,annual,540.83,active,2023-07-31,2024-03-24,false
59,35,31,2,12,annual,590.00,active,2024-03-24,2024-11-03,false
60,35,31,1,10,monthly,290.00,active,2024-11-03,9999-12-31,true
61,36,32,3,85,annual,7012.50,active,2024-05-09,2024-08-12,false
62,36,32,4,85,annual,10554.17,active,2024-08-12,9999-12-31,true
63,37,33,1,6,monthly,174.00,active,2026-08-05,9999-12-31,true
64,38,34,2,37,monthly,2183.00,active,2025-03-24,2025-08-14,false
65,38,34,3,37,monthly,3663.00,active,2025-08-14,2025-12-30,false
66,38,34,3,30,monthly,2970.00,active,2025-12-30,2026-04-21,false
67,38,34,3,32,monthly,3168.00,active,2026-04-21,9999-12-31,true
68,39,35,2,19,monthly,1121.00,active,2025-08-06,2026-02-03,false
69,39,35,3,19,monthly,1881.00,active,2026-02-03,2026-06-12,false
70,40,36,2,13,annual,639.17,active,2024-04-17,2025-01-22,false
71,40,36,2,14,annual,688.33,active,2025-01-22,2025-05-14,false
72,40,36,2,16,annual,786.67,active,2025-05-14,2025-06-20,false
73,40,36,2,14,annual,688.33,active,2025-06-20,2025-10-30,false
74,40,36,2,12,annual,590.00,active,2025-10-30,2026-03-15,false
75,40,36,2,14,annual,688.33,active,2026-03-15,9999-12-31,true
76,41,37,3,356,annual,29370.00,active,2025-08-27,2026-01-28,false
77,41,37,4,356,annual,44203.33,active,2026-01-28,2026-02-18,false
78,41,37,4,411,annual,51032.50,active,2026-02-18,9999-12-31,true
79,42,38,3,19,annual,1567.50,active,2023-02-07,2023-07-31,false
80,42,38,3,17,annual,1402.50,active,2023-07-31,2023-11-11,false
81,42,38,3,21,annual,1732.50,active,2023-11-11,2024-03-29,false
82,42,38,4,21,annual,2607.50,active,2024-03-29,2024-07-06,false
83,42,38,4,24,annual,2980.00,active,2024-07-06,2025-02-17,false
84,42,38,4,27,annual,3352.50,active,2025-02-17,2025-05-31,false
85,42,38,3,27,annual,2227.50,active,2025-05-31,2025-10-23,false
86,42,38,3,31,annual,2557.50,active,2025-10-23,2026-07-30,false
87,42,38,3,24,annual,1980.00,active,2026-07-30,9999-12-31,true
88,43,39,1,2,monthly,58.00,active,2024-01-06,2025-07-13,false
89,43,39,1,3,monthly,87.00,active,2025-07-13,9999-12-31,true
90,44,40,3,8,monthly,792.00,active,2025-06-05,2026-03-28,false
91,44,40,3,10,monthly,990.00,active,2026-03-28,9999-12-31,true
92,45,41,1,10,monthly,290.00,active,2023-02-05,2023-10-26,false
93,46,42,3,14,annual,1155.00,active,2022-07-02,2023-03-13,false
94,46,42,3,16,annual,1320.00,active,2023-03-13,2024-04-23,false
95,46,42,3,19,annual,1567.50,active,2024-04-23,2026-06-22,false
96,46,42,4,19,annual,2359.17,active,2026-06-22,9999-12-31,true
97,47,43,1,10,monthly,290.00,active,2022-10-18,2023-07-09,false
98,47,43,2,10,monthly,590.00,active,2023-07-09,2024-05-15,false
99,48,44,3,460,annual,37950.00,active,2023-12-15,2024-02-29,false
100,48,44,2,50,annual,2458.33,active,2024-02-29,9999-12-31,true
101,49,45,2,6,annual,295.00,active,2025-12-22,2026-06-12,false
102,49,45,2,7,annual,344.17,active,2026-06-12,9999-12-31,true
103,50,46,3,35,monthly,3465.00,active,2024-11-19,2025-02-05,false
104,50,46,4,35,annual,4345.83,active,2025-02-05,2025-07-18,false
105,50,46,3,35,annual,2887.50,active,2025-07-18,2025-11-16,false
106,50,46,3,41,annual,3382.50,active,2025-11-16,2026-02-24,false
107,50,46,3,34,annual,2805.00,active,2026-02-24,9999-12-31,true
