subscription_id,customer_id,plan_id,seats,billing_interval,mrr,started_at,ended_at,status,cancellation_reason
1,1,1,4,monthly,0.00,2025-07-01,2025-09-28,cancelled,low_adoption
2,1,1,3,monthly,87.00,2026-02-18,,active,
3,2,1,5,monthly,0.00,2024-08-15,2026-02-18,cancelled,missing_features
4,3,2,4,monthly,0.00,2023-01-03,2024-09-11,cancelled,competitor
5,4,3,46,annual,3795.00,2024-03-24,,active,
6,5,2,6,annual,295.00,2026-05-27,,active,
7,6,3,13,annual,0.00,2023-11-01,2025-01-18,cancelled,price
8,6,3,11,monthly,1089.00,2025-05-23,,active,
9,7,1,3,monthly,87.00,2025-11-25,,active,
10,8,2,4,monthly,236.00,2024-09-25,,active,
11,9,2,22,monthly,1298.00,2025-06-16,,active,
12,10,1,3,monthly,0.00,2026-02-08,2026-04-16,cancelled,company_closed
13,11,2,12,monthly,708.00,2026-05-03,,active,
14,12,4,223,annual,27689.17,2026-06-02,,active,
15,13,3,100,annual,8250.00,2023-08-10,,active,
16,14,3,50,annual,4125.00,2026-05-01,,active,
17,15,3,39,monthly,3861.00,2026-01-12,,active,
18,16,2,30,monthly,1770.00,2025-08-31,,active,
19,17,4,513,annual,63697.50,2023-09-19,,active,
20,18,4,17,annual,2110.83,2026-06-29,,active,
21,19,2,35,monthly,0.00,2025-07-23,2026-04-07,cancelled,low_adoption
22,19,1,10,monthly,290.00,2026-08-23,,active,
23,20,2,4,annual,196.67,2026-06-03,,active,
24,21,2,2,monthly,118.00,2026-02-14,,active,
25,22,2,14,monthly,0.00,2023-04-24,2023-12-28,cancelled,price
26,23,1,6,monthly,0.00,2022-12-01,2023-04-13,cancelled,missing_features
27,24,3,18,monthly,0.00,2023-01-01,2025-03-09,cancelled,missing_features
28,25,3,6,monthly,0.00,2025-04-23,2026-07-08,cancelled,low_adoption
29,26,3,15,monthly,1485.00,2025-11-25,,active,
30,27,1,10,monthly,0.00,2024-04-18,2025-05-12,cancelled,internal_tool
31,27,1,6,monthly,174.00,2026-01-27,,active,
32,28,2,8,annual,393.33,2025-09-03,,active,
33,29,1,10,monthly,0.00,2025-01-25,2025-11-13,cancelled,company_closed
34,30,1,3,monthly,0.00,2025-03-04,2026-03-23,cancelled,missing_features
35,31,1,10,monthly,290.00,2023-07-31,,active,
36,32,4,85,annual,10554.17,2024-05-09,,active,
37,33,1,6,monthly,174.00,2026-08-05,,active,
38,34,3,32,monthly,3168.00,2025-03-24,,active,
39,35,3,19,monthly,0.00,2025-08-06,2026-06-12,cancelled,competitor
40,36,2,14,annual,688.33,2024-04-17,,active,
41,37,4,411,annual,51032.50,2025-08-27,,active,
42,38,3,24,annual,1980.00,2023-02-07,,active,
43,39,1,3,monthly,87.00,2024-01-06,,active,
44,40,3,10,monthly,990.00,2025-06-05,,active,
45,41,1,10,monthly,0.00,2023-02-05,2023-10-26,cancelled,low_adoption
46,42,4,19,annual,2359.17,2022-07-02,,active,
47,43,2,10,monthly,0.00,2022-10-18,2024-05-15,cancelled,low_adoption
48,44,2,50,annual,2458.33,2023-12-15,,active,
49,45,2,7,annual,344.17,2025-12-22,,active,
50,46,3,34,annual,2805.00,2024-11-19,,active,
51,47,4,430,annual,53391.67,2026-01-10,,active,
52,48,3,4,monthly,0.00,2025-03-31,2026-02-16,cancelled,price
53,49,3,292,annual,24090.00,2026-06-22,,active,
54,50,2,5,monthly,0.00,2023-11-02,2026-04-24,cancelled,low_adoption
55,51,1,10,monthly,290.00,2024-02-03,,active,
56,52,3,379,annual,31267.50,2023-11-11,,active,
57,53,1,10,monthly,0.00,2022-08-22,2024-08-19,cancelled,low_adoption
58,54,2,12,monthly,0.00,2023-04-28,2023-10-26,cancelled,competitor
59,55,3,4,monthly,0.00,2025-04-14,2026-07-02,cancelled,low_adoption
60,56,2,4,monthly,0.00,2025-07-01,2026-04-05,cancelled,company_closed
61,57,4,38,annual,4718.33,2024-09-07,,active,
62,58,1,8,monthly,232.00,2026-02-20,,active,
63,59,4,22,annual,2731.67,2025-06-28,,active,
64,60,1,4,monthly,116.00,2025-09-03,,active,
65,61,4,146,annual,18128.33,2024-11-28,,active,
66,62,2,22,annual,1081.67,2026-03-04,,active,
67,63,1,3,monthly,87.00,2025-11-19,,active,
68,64,2,12,monthly,708.00,2026-07-31,,active,
69,65,1,7,monthly,203.00,2026-05-31,,active,
70,66,1,5,monthly,0.00,2025-10-08,2026-05-07,cancelled,missing_features
71,67,4,150,annual,18625.00,2026-02-24,,active,
72,68,2,50,annual,2458.33,2025-08-01,,active,
73,69,2,11,monthly,0.00,2023-06-29,2024-07-21,cancelled,low_adoption
74,70,1,10,monthly,0.00,2023-08-13,2023-11-26,cancelled,price
75,71,4,70,annual,8691.67,2026-08-19,,active,
76,72,3,7,monthly,0.00,2023-01-17,2024-06-27,cancelled,missing_features
77,73,3,7,monthly,693.00,2024-01-29,,active,
78,74,3,10,annual,0.00,2023-05-19,2023-09-19,cancelled,competitor
79,74,3,7,annual,0.00,2023-12-17,2024-09-28,cancelled,low_adoption
80,75,1,3,monthly,0.00,2025-09-24,2026-01-16,cancelled,competitor
81,76,3,186,annual,15345.00,2025-03-28,,active,
82,77,3,28,monthly,2772.00,2024-11-06,,active,
83,78,2,4,annual,0.00,2023-04-30,2023-12-31,cancelled,low_adoption
84,79,3,11,annual,907.50,2025-10-16,,active,
85,80,1,7,monthly,203.00,2025-10-11,,active,
86,81,2,7,monthly,413.00,2025-08-25,,active,
87,82,3,20,annual,1650.00,2026-06-09,,active,
