ticket_id,ticket_number,customer_id,subscription_id,opened_at,resolved_at,status,category,priority,channel,assignee,first_response_hours,csat_score
1,TCK-000001,1,2,2026-03-31,2026-03-31,solved,how_to,low,in_app,marcus.holm,1,5
2,TCK-000002,2,3,2024-11-03,2024-11-03,solved,billing,medium,email,priya.shah,1,
3,TCK-000003,2,3,2024-08-25,2024-08-25,solved,billing,high,email,priya.shah,1,4
4,TCK-000004,2,3,2024-11-27,2024-11-27,solved,how_to,low,chat,emma.cole,2,
5,TCK-000005,2,3,2025-03-13,2025-03-13,solved,onboarding,low,in_app,ava.nguyen,4,3
6,TCK-000006,2,3,2025-02-19,2025-02-19,solved,onboarding,high,in_app,marcus.holm,1,5
7,TCK-000007,2,3,2025-06-29,2025-06-29,solved,feature_request,high,email,priya.shah,1,3
8,TCK-000008,2,3,2025-06-10,2025-06-10,closed,bug,medium,in_app,emma.cole,1,
9,TCK-000009,2,3,2025-12-08,2025-12-08,solved,how_to,high,chat,jonas.becker,1,
10,TCK-000010,2,3,2025-05-05,2025-05-05,solved,how_to,medium,email,jonas.becker,1,5
11,TCK-000011,2,3,2026-01-20,2026-01-20,solved,onboarding,medium,chat,emma.cole,1,
12,TCK-000012,3,4,2023-06-16,2023-06-16,closed,bug,high,in_app,priya.shah,1,
13,TCK-000013,3,4,2023-10-26,2023-10-26,closed,how_to,medium,in_app,priya.shah,5,5
14,TCK-000014,3,4,2024-08-18,2024-08-18,closed,onboarding,high,email,emma.cole,1,5
15,TCK-000015,3,4,2023-08-09,2023-08-09,solved,billing,low,email,marcus.holm,1,
16,TCK-000016,3,4,2023-09-08,2023-09-09,solved,bug,medium,email,priya.shah,1,
17,TCK-000017,3,4,2024-05-23,2024-05-23,solved,bug,low,in_app,emma.cole,4,
18,TCK-000018,3,4,2024-03-07,2024-03-07,solved,bug,medium,in_app,marcus.holm,1,5
19,TCK-000019,3,4,2024-02-04,2024-02-04,solved,feature_request,medium,email,priya.shah,2,
20,TCK-000020,3,4,2023-05-29,2023-05-29,solved,billing,medium,email,jonas.becker,3,
21,TCK-000021,3,4,2024-05-29,2024-05-29,solved,how_to,high,chat,jonas.becker,5,3
22,TCK-000022,3,4,2023-08-15,2023-08-15,closed,bug,medium,email,marcus.holm,2,
23,TCK-000023,3,4,2024-04-13,2024-04-13,closed,feature_request,low,chat,ava.nguyen,1,5
24,TCK-000024,3,4,2024-06-23,2024-06-23,closed,how_to,medium,email,ava.nguyen,2,4
25,TCK-000025,3,4,2024-07-09,2024-07-09,closed,bug,high,email,priya.shah,1,5
26,TCK-000026,3,4,2024-06-02,2024-06-02,solved,how_to,low,email,jonas.becker,3,5
27,TCK-000027,3,4,2023-12-01,2023-12-01,solved,how_to,urgent,email,priya.shah,1,
28,TCK-000028,3,4,2023-10-27,2023-10-27,solved,bug,low,email,emma.cole,2,
29,TCK-000029,4,5,2025-01-30,2025-01-30,closed,feature_request,low,in_app,marcus.holm,1,4
30,TCK-000030,4,5,2025-01-12,2025-01-12,closed,billing,high,in_app,ava.nguyen,1,
31,TCK-000031,4,5,2024-10-26,2024-10-26,solved,feature_request,medium,email,emma.cole,1,2
32,TCK-000032,4,5,2026-07-22,2026-07-22,solved,how_to,high,in_app,priya.shah,1,
33,TCK-000033,4,5,2025-04-06,2025-04-06,closed,how_to,low,email,jonas.becker,2,2
34,TCK-000034,4,5,2024-04-10,2024-04-10,solved,bug,medium,email,priya.shah,4,5
35,TCK-000035,4,5,2024-11-29,2024-11-29,closed,bug,low,email,jonas.becker,1,
36,TCK-000036,4,5,2025-06-03,2025-06-03,closed,feature_request,medium,email,jonas.becker,1,4
37,TCK-000037,4,5,2025-04-05,2025-04-05,closed,onboarding,medium,email,jonas.becker,1,3
38,TCK-000038,4,5,2025-06-05,2025-06-05,solved,how_to,high,in_app,marcus.holm,5,
39,TCK-000039,4,5,2024-05-20,2024-05-20,solved,how_to,low,in_app,ava.nguyen,2,
40,TCK-000040,6,7,2024-02-23,2024-02-24,solved,bug,medium,in_app,priya.shah,8,
41,TCK-000041,6,7,2024-07-03,2024-07-03,solved,billing,low,email,priya.shah,1,
42,TCK-000042,6,7,2024-11-14,2024-11-14,solved,feature_request,medium,in_app,priya.shah,2,3
43,TCK-000043,6,8,2025-09-26,2025-09-26,solved,bug,low,chat,marcus.holm,3,
44,TCK-000044,6,7,2023-11-08,2023-11-08,solved,how_to,high,phone,marcus.holm,1,4
45,TCK-000045,6,7,2024-04-02,2024-04-02,solved,feature_request,medium,in_app,emma.cole,1,5
46,TCK-000046,6,,2025-04-28,2025-04-28,solved,bug,medium,phone,emma.cole,1,
47,TCK-000047,6,7,2024-01-01,2024-01-01,solved,bug,medium,in_app,priya.shah,7,
48,TCK-000048,6,8,2025-09-25,2025-09-25,solved,bug,high,chat,marcus.holm,1,2
49,TCK-000049,6,7,2023-12-25,2023-12-25,solved,how_to,high,chat,emma.cole,1,
50,TCK-000050,6,8,2026-05-30,2026-05-30,closed,how_to,medium,email,jonas.becker,2,
51,TCK-000051,6,8,2026-02-21,2026-02-21,solved,feature_request,medium,chat,jonas.becker,5,
52,TCK-000052,6,8,2025-07-30,2025-07-30,solved,how_to,high,in_app,emma.cole,1,
53,TCK-000053,6,8,2026-06-17,2026-06-17,solved,onboarding,high,email,jonas.becker,1,5
54,TCK-000054,7,9,2026-05-04,2026-05-04,solved,how_to,high,email,emma.cole,3,5
55,TCK-000055,7,9,2026-04-28,2026-04-28,solved,bug,high,in_app,marcus.holm,1,
56,TCK-000056,8,10,2026-03-07,2026-03-07,solved,how_to,medium,in_app,emma.cole,1,
57,TCK-000057,8,10,2024-10-27,2024-10-27,closed,feature_request,medium,chat,emma.cole,1,
58,TCK-000058,8,10,2025-11-17,2025-11-17,solved,bug,high,in_app,marcus.holm,1,
59,TCK-000059,8,10,2025-02-09,2025-02-10,solved,billing,medium,in_app,jonas.becker,1,
60,TCK-000060,8,10,2024-10-20,2024-10-20,solved,how_to,high,in_app,jonas.becker,4,
61,TCK-000061,8,10,2025-01-12,2025-01-12,solved,feature_request,medium,email,marcus.holm,2,4
62,TCK-000062,9,11,2025-12-25,2025-12-25,solved,billing,low,chat,jonas.becker,1,
63,TCK-000063,9,11,2026-05-26,2026-05-26,solved,onboarding,low,email,priya.shah,1,
64,TCK-000064,9,11,2026-01-28,2026-01-28,solved,bug,high,in_app,marcus.holm,1,
65,TCK-000065,9,11,2025-12-19,2025-12-19,solved,how_to,medium,email,priya.shah,1,
66,TCK-000066,9,11,2025-11-14,2025-11-14,solved,how_to,urgent,phone,priya.shah,1,
67,TCK-000067,9,11,2025-08-01,2025-08-01,solved,how_to,medium,in_app,emma.cole,5,5
68,TCK-000068,10,12,2026-03-29,2026-03-29,solved,onboarding,medium,in_app,marcus.holm,1,
69,TCK-000069,11,13,2026-05-19,2026-05-19,closed,bug,high,in_app,jonas.becker,3,
70,TCK-000070,12,14,2026-06-10,2026-06-10,closed,bug,high,in_app,marcus.holm,1,
71,TCK-000071,12,14,2026-07-27,2026-07-27,solved,bug,medium,email,priya.shah,6,
72,TCK-000072,12,14,2026-07-31,2026-08-01,closed,how_to,medium,chat,ava.nguyen,13,4
73,TCK-000073,13,15,2025-08-31,2025-08-31,solved,feature_request,high,in_app,priya.shah,1,3
74,TCK-000074,13,15,2025-11-30,2025-11-30,solved,bug,medium,email,jonas.becker,5,
75,TCK-000075,13,15,2026-01-08,2026-01-09,solved,how_to,medium,chat,ava.nguyen,5,5
76,TCK-000076,13,15,2025-04-03,2025-04-03,solved,billing,medium,in_app,jonas.becker,1,
77,TCK-000077,13,15,2025-09-03,2025-09-03,solved,feature_request,low,email,priya.shah,2,
78,TCK-000078,13,15,2025-04-27,2025-04-27,solved,how_to,urgent,in_app,priya.shah,1,
79,TCK-000079,13,15,2026-04-06,2026-04-10,solved,how_to,medium,in_app,emma.cole,6,
80,TCK-000080,13,15,2025-08-15,2025-08-15,solved,bug,medium,in_app,ava.nguyen,3,
81,TCK-000081,13,15,2026-03-15,2026-03-15,solved,bug,low,phone,priya.shah,1,
82,TCK-000082,13,15,2024-11-01,2024-11-01,closed,onboarding,high,email,jonas.becker,1,
83,TCK-000083,13,15,2025-11-11,2025-11-13,closed,billing,medium,in_app,marcus.holm,17,4
84,TCK-000084,13,15,2025-03-22,2025-03-22,closed,feature_request,high,phone,priya.shah,1,5
85,TCK-000085,13,15,2024-02-13,2024-02-13,solved,bug,medium,in_app,priya.shah,1,4
86,TCK-000086,13,15,2024-05-18,,open,feature_request,low,email,priya.shah,2,
87,TCK-000087,13,15,2025-11-06,2025-11-06,solved,how_to,medium,in_app,emma.cole,1,
88,TCK-000088,13,15,2025-06-07,2025-06-07,closed,feature_request,low,chat,marcus.holm,1,
89,TCK-000089,13,15,2026-05-24,2026-05-24,solved,how_to,low,phone,marcus.holm,1,
90,TCK-000090,13,15,2025-10-26,2025-10-27,solved,billing,low,chat,marcus.holm,4,
91,TCK-000091,13,15,2026-07-06,2026-07-06,solved,how_to,high,in_app,priya.shah,1,5
92,TCK-000092,13,15,2025-07-10,2025-07-10,solved,outage,urgent,chat,priya.shah,1,
93,TCK-000093,13,15,2023-10-06,2023-10-06,closed,onboarding,high,phone,marcus.holm,1,5
94,TCK-000094,13,15,2025-01-22,2025-01-22,solved,how_to,medium,phone,marcus.holm,1,3
95,TCK-000095,13,15,2024-08-26,,open,onboarding,low,email,ava.nguyen,2,
96,TCK-000096,13,15,2026-07-25,2026-07-25,closed,onboarding,high,in_app,emma.cole,1,
97,TCK-000097,13,15,2026-06-24,2026-06-26,closed,billing,medium,phone,emma.cole,9,
98,TCK-000098,14,16,2026-05-08,2026-05-08,closed,how_to,medium,email,priya.shah,1,
99,TCK-000099,14,16,2026-08-17,2026-08-17,solved,feature_request,medium,phone,ava.nguyen,2,
100,TCK-000100,14,16,2026-05-02,2026-05-02,solved,billing,medium,chat,ava.nguyen,1,
101,TCK-000101,15,17,2026-06-18,2026-06-18,solved,onboarding,medium,email,jonas.becker,1,4
102,TCK-000102,15,17,2026-02-26,2026-02-26,solved,feature_request,medium,email,marcus.holm,1,4
103,TCK-000103,15,17,2026-06-22,2026-06-24,closed,bug,medium,email,emma.cole,12,5
104,TCK-000104,15,17,2026-05-28,2026-05-28,solved,billing,high,email,marcus.holm,1,
105,TCK-000105,15,17,2026-08-12,2026-08-12,solved,feature_request,urgent,chat,ava.nguyen,1,5
106,TCK-000106,15,17,2026-03-26,2026-03-26,solved,how_to,low,in_app,jonas.becker,1,2
107,TCK-000107,16,18,2026-01-20,2026-01-20,solved,onboarding,urgent,chat,priya.shah,1,
108,TCK-000108,16,18,2026-02-07,2026-02-07,solved,how_to,low,email,marcus.holm,1,5
109,TCK-000109,16,18,2026-03-19,2026-03-22,closed,bug,medium,email,priya.shah,17,
110,TCK-000110,16,18,2026-07-29,2026-07-29,solved,feature_request,low,in_app,jonas.becker,2,
111,TCK-000111,16,18,2025-10-13,2025-10-13,closed,how_to,medium,email,ava.nguyen,1,5
112,TCK-000112,16,18,2026-06-29,2026-06-29,solved,how_to,low,email,ava.nguyen,1,5
113,TCK-000113,16,18,2026-01-26,2026-01-27,solved,how_to,medium,email,jonas.becker,2,4
114,TCK-000114,16,18,2025-09-09,,open,bug,medium,phone,ava.nguyen,24,
115,TCK-000115,17,19,2024-06-29,2024-06-29,solved,billing,low,chat,ava.nguyen,7,5
116,TCK-000116,17,19,2025-06-05,2025-06-06,solved,how_to,medium,chat,emma.cole,3,5
117,TCK-000117,17,19,2024-03-02,2024-03-02,solved,billing,low,email,ava.nguyen,2,5
118,TCK-000118,17,19,2025-10-05,2025-10-05,solved,outage,high,in_app,ava.nguyen,1,2
119,TCK-000119,17,19,2023-11-12,2023-11-13,solved,billing,medium,in_app,emma.cole,6,
120,TCK-000120,17,19,2026-03-29,2026-03-29,solved,how_to,medium,email,priya.shah,1,
121,TCK-000121,17,19,2026-08-08,2026-08-08,closed,how_to,medium,in_app,jonas.becker,4,4
122,TCK-000122,17,19,2026-07-17,2026-07-17,solved,billing,medium,email,priya.shah,1,5
123,TCK-000123,17,19,2026-08-23,2026-08-24,solved,bug,medium,in_app,jonas.becker,9,
124,TCK-000124,17,19,2026-01-28,2026-01-29,solved,how_to,medium,in_app,marcus.holm,7,
125,TCK-000125,17,19,2025-12-07,2025-12-07,closed,how_to,low,chat,emma.cole,1,3
126,TCK-000126,17,19,2025-12-01,2025-12-01,solved,billing,low,chat,priya.shah,2,
127,TCK-000127,17,19,2025-12-05,2025-12-09,closed,how_to,low,email,emma.cole,14,
128,TCK-000128,17,19,2025-08-13,,open,billing,high,chat,jonas.becker,2,
129,TCK-000129,17,19,2024-02-17,2024-02-17,solved,billing,medium,email,jonas.becker,1,
130,TCK-000130,17,19,2024-10-02,2024-10-02,solved,onboarding,medium,in_app,ava.nguyen,1,5
131,TCK-000131,17,19,2026-02-26,2026-02-26,solved,how_to,medium,email,marcus.holm,4,
132,TCK-000132,17,19,2024-01-07,,open,how_to,medium,email,ava.nguyen,24,
133,TCK-000133,17,19,2024-10-04,2024-10-04,solved,feature_request,medium,email,marcus.holm,1,
134,TCK-000134,17,19,2025-03-21,2025-03-21,solved,feature_request,high,chat,marcus.holm,1,
135,TCK-000135,18,20,2026-07-18,2026-07-19,solved,billing,medium,chat,priya.shah,3,
