trial_id,customer_id,trial_start_date,trial_end_date,converted,converted_at,acquisition_channel
1,2,2024-07-25,2024-08-15,true,2024-08-15,self_serve
2,4,2024-03-10,2024-03-24,true,2024-03-24,self_serve
3,5,2026-05-13,2026-05-27,true,2026-05-27,self_serve
4,6,2023-10-11,2023-11-01,true,2023-11-01,self_serve
5,7,2025-11-11,2025-11-25,true,2025-11-25,self_serve
6,15,2025-12-29,2026-01-12,true,2026-01-12,self_serve
7,23,2022-11-24,2022-12-01,true,2022-12-01,self_serve
8,28,2025-08-13,2025-09-03,true,2025-09-03,self_serve
9,29,2025-01-11,2025-01-25,true,2025-01-25,self_serve
10,31,2023-07-17,2023-07-31,true,2023-07-31,self_serve
11,34,2025-03-10,2025-03-24,true,2025-03-24,self_serve
12,36,2024-04-03,2024-04-17,true,2024-04-17,self_serve
13,50,2023-10-26,2023-11-02,true,2023-11-02,self_serve
14,56,2025-06-17,2025-07-01,true,2025-07-01,self_serve
15,72,2023-01-03,2023-01-17,true,2023-01-17,self_serve
16,73,2024-01-08,2024-01-29,true,2024-01-29,self_serve
17,78,2023-04-16,2023-04-30,true,2023-04-30,self_serve
18,79,2025-10-02,2025-10-16,true,2025-10-16,self_serve
19,80,2025-10-04,2025-10-11,true,2025-10-11,self_serve
20,84,2026-06-08,2026-06-22,true,2026-06-22,self_serve
21,87,2024-08-29,2024-09-12,true,2024-09-12,self_serve
22,90,2024-11-13,2024-11-20,true,2024-11-20,self_serve
23,98,2024-11-08,2024-11-22,true,2024-11-22,self_serve
24,99,2026-05-23,2026-05-30,true,2026-05-30,self_serve
25,100,2024-08-15,2024-09-05,true,2024-09-05,self_serve
26,103,2025-12-02,2025-12-16,true,2025-12-16,self_serve
27,110,2024-09-02,2024-09-09,true,2024-09-09,self_serve
28,116,2025-10-20,2025-11-03,true,2025-11-03,self_serve
29,120,2024-04-29,2024-05-13,true,2024-05-13,self_serve
30,123,2025-01-26,2025-02-09,true,2025-02-09,self_serve
31,125,2024-10-10,2024-10-24,true,2024-10-24,self_serve
32,126,2026-01-29,2026-02-12,true,2026-02-12,self_serve
33,130,2026-05-02,2026-05-23,true,2026-05-23,self_serve
34,131,2025-01-17,2025-01-31,true,2025-01-31,self_serve
35,136,2026-02-03,2026-02-17,true,2026-02-17,self_serve
36,138,2026-04-11,2026-04-25,true,2026-04-25,self_serve
37,142,2026-06-21,2026-07-05,true,2026-07-05,self_serve
38,150,2024-09-27,2024-10-04,true,2024-10-04,self_serve
39,151,2025-06-28,2025-07-05,true,2025-07-05,self_serve
40,152,2024-01-02,2024-01-23,true,2024-01-23,self_serve
41,156,2025-03-07,2025-03-21,true,2025-03-21,self_serve
42,158,2026-05-07,2026-05-21,true,2026-05-21,self_serve
43,162,2026-01-02,2026-01-16,true,2026-01-16,self_serve
44,166,2025-03-26,2025-04-09,true,2025-04-09,self_serve
45,168,2025-01-29,2025-02-12,true,2025-02-12,self_serve
46,174,2026-08-03,2026-08-10,true,2026-08-10,self_serve
47,179,2022-07-29,2022-08-12,true,2022-08-12,self_serve
48,193,2024-05-14,2024-05-28,true,2024-05-28,self_serve
49,198,2026-07-07,2026-07-14,true,2026-07-14,self_serve
50,201,2024-02-16,2024-03-01,true,2024-03-01,self_serve
51,204,2026-05-14,2026-06-04,true,2026-06-04,self_serve
52,210,2026-06-26,2026-07-03,true,2026-07-03,self_serve
53,223,2024-09-09,2024-09-16,true,2024-09-16,self_serve
54,226,2025-07-05,2025-07-12,true,2025-07-12,self_serve
55,228,2026-02-24,2026-03-10,true,2026-03-10,self_serve
56,244,2024-12-08,2024-12-22,true,2024-12-22,self_serve
57,248,2022-11-17,2022-12-01,true,2022-12-01,self_serve
58,249,2022-07-19,2022-08-02,true,2022-08-02,self_serve
59,250,2026-05-18,2026-06-01,true,2026-06-01,self_serve
60,255,2024-02-25,2024-03-10,true,2024-03-10,self_serve
61,256,2023-05-14,2023-05-28,true,2023-05-28,self_serve
62,270,2024-10-12,2024-10-26,true,2024-10-26,self_serve
63,275,2026-05-21,2026-06-04,true,2026-06-04,self_serve
64,277,2026-07-18,2026-08-01,true,2026-08-01,self_serve
65,279,2024-01-31,2024-02-14,true,2024-02-14,self_serve
66,280,2024-10-30,2024-11-13,true,2024-11-13,self_serve
67,281,2024-06-11,2024-06-25,true,2024-06-25,self_serve
68,286,2025-10-14,2025-10-28,true,2025-10-28,self_serve
69,289,2024-11-02,2024-11-16,true,2024-11-16,self_serve
70,290,2025-04-12,2025-05-03,true,2025-05-03,self_serve
71,295,2025-04-18,2025-05-09,true,2025-05-09,self_serve
72,307,2026-05-20,2026-06-10,true,2026-06-10,self_serve
73,311,2025-07-26,2025-08-09,true,2025-08-09,self_serve
74,313,2023-03-24,2023-04-07,true,2023-04-07,self_serve
75,315,2023-10-26,2023-11-16,true,2023-11-16,self_serve
76,318,2024-06-29,2024-07-20,true,2024-07-20,self_serve
77,319,2024-11-15,2024-11-29,true,2024-11-29,self_serve
78,325,2025-11-30,2025-12-14,true,2025-12-14,self_serve
79,328,2022-12-20,2023-01-10,true,2023-01-10,self_serve
80,330,2023-12-18,2024-01-01,true,2024-01-01,self_serve
81,339,2025-06-07,2025-06-28,true,2025-06-28,self_serve
82,342,2025-05-22,2025-06-05,true,2025-06-05,self_serve
83,347,2025-02-19,2025-03-05,true,2025-03-05,self_serve
84,358,2022-12-03,2022-12-17,true,2022-12-17,self_serve
